 ISIZE              155
 JSIZE               96
 DLAM        6.4935065E-03
 DPSI        6.5449849E-02
 Ri[km]       6475.000    
 Rp[km]       6375.000    


   # 000000  ut=000000  ITIME=000000(00:00:00)

   alpha/(1.E-2)    ut=000000  ave= 1.3891E+00  sd= 0.0000E+00

         1       2       3       4       5       6       7       8       9      10      11      12      13      14      15      16
   6 224.983 224.983 224.983 224.983 224.983 224.983 224.983 224.983 224.983 224.983 224.983 224.983 224.983 224.983 224.983 224.983
   7 217.350 217.350 217.350 217.350 217.350 217.350 217.350 217.350 217.350 217.350 217.350 217.350 217.350 217.350 217.350 217.350
   8 207.587 207.587 207.587 207.587 207.587 207.587 207.587 207.587 207.587 207.587 207.587 207.587 207.587 207.587 207.587 207.587
   9 195.291 195.291 195.291 195.291 195.291 195.291 195.291 195.291 195.291 195.291 195.291 195.291 195.291 195.291 195.291 195.291
  10 180.494 180.494 180.494 180.494 180.494 180.494 180.494 180.494 180.494 180.494 180.494 180.494 180.494 180.494 180.494 180.494


   # 000000  ut=000000  ITIME=000000(00:00:00)

   alpha/(1.E-2)    ut=000000  ave= 1.3891E+00  sd= 0.0000E+00

        17      18      19      20      21      22      23      24      25      26      27      28      29      30      31      32
  11 164.061 164.061 164.061 164.061 164.061 164.061 164.061 164.061 164.061 164.061 164.061 164.061 164.061 164.061 164.061 164.061
  12 147.629 147.629 147.629 147.629 147.629 147.629 147.629 147.629 147.629 147.629 147.629 147.629 147.629 147.629 147.629 147.629
  13 132.833 132.833 132.833 132.833 132.833 132.833 132.833 132.833 132.833 132.833 132.833 132.833 132.833 132.833 132.833 132.833
  14 120.540 120.540 120.540 120.540 120.540 120.540 120.540 120.540 120.540 120.540 120.540 120.540 120.540 120.540 120.540 120.540
  15 110.780 110.780 110.780 110.780 110.780 110.780 110.780 110.780 110.780 110.780 110.780 110.780 110.780 110.780 110.780 110.780
  16 103.153 103.153 103.153 103.153 103.153 103.153 103.153 103.153 103.153 103.153 103.153 103.153 103.153 103.153 103.153 103.153
  17  97.179  97.179  97.179  97.179  97.179  97.179  97.179  97.179  97.179  97.179  97.179  97.179  97.179  97.179  97.179  97.179
  18  92.447  92.447  92.447  92.447  92.447  92.447  92.447  92.447  92.447  92.447  92.447  92.447  92.447  92.447  92.447  92.447
  19  88.644  88.644  88.644  88.644  88.644  88.644  88.644  88.644  88.644  88.644  88.644  88.644  88.644  88.644  88.644  88.644
  20  85.543  85.543  85.543  85.543  85.543  85.543  85.543  85.543  85.543  85.543  85.543  85.543  85.543  85.543  85.543  85.543
  21  82.977  82.977  82.977  82.977  82.977  82.977  82.977  82.977  82.977  82.977  82.977  82.977  82.977  82.977  82.977  82.977
  22  80.826  80.826  80.826  80.826  80.826  80.826  80.826  80.826  80.826  80.826  80.826  80.826  80.826  80.826  80.826  80.826
  23  79.003  79.003  79.003  79.003  79.003  79.003  79.003  79.003  79.003  79.003  79.003  79.003  79.003  79.003  79.003  79.003
  24  77.440  77.440  77.440  77.440  77.440  77.440  77.440  77.440  77.440  77.440  77.440  77.440  77.440  77.440  77.440  77.440
  25  76.089  76.089  76.089  76.089  76.089  76.089  76.089  76.089  76.089  76.089  76.089  76.089  76.089  76.089  76.089  76.089
  26  74.912  74.912  74.912  74.912  74.912  74.912  74.912  74.912  74.912  74.912  74.912  74.912  74.912  74.912  74.912  74.912
  27  73.879  73.879  73.879  73.879  73.879  73.879  73.879  73.879  73.879  73.879  73.879  73.879  73.879  73.879  73.879  73.879
  28  72.967  72.967  72.967  72.967  72.967  72.967  72.967  72.967  72.967  72.967  72.967  72.967  72.967  72.967  72.967  72.967
  29  72.157  72.157  72.157  72.157  72.157  72.157  72.157  72.157  72.157  72.157  72.157  72.157  72.157  72.157  72.157  72.157
  30  71.433  71.433  71.433  71.433  71.433  71.433  71.433  71.433  71.433  71.433  71.433  71.433  71.433  71.433  71.433  71.433
  31  70.785  70.785  70.785  70.785  70.785  70.785  70.785  70.785  70.785  70.785  70.785  70.785  70.785  70.785  70.785  70.785
  32  70.201  70.201  70.201  70.201  70.201  70.201  70.201  70.201  70.201  70.201  70.201  70.201  70.201  70.201  70.201  70.201
  33  69.673  69.673  69.673  69.673  69.673  69.673  69.673  69.673  69.673  69.673  69.673  69.673  69.673  69.673  69.673  69.673
  34  69.196  69.196  69.196  69.196  69.196  69.196  69.196  69.196  69.196  69.196  69.196  69.196  69.196  69.196  69.196  69.196
  35  68.762  68.762  68.762  68.762  68.762  68.762  68.762  68.762  68.762  68.762  68.762  68.762  68.762  68.762  68.762  68.762
  36  68.368  68.368  68.368  68.368  68.368  68.368  68.368  68.368  68.368  68.368  68.368  68.368  68.368  68.368  68.368  68.368
  37  68.008  68.008  68.008  68.008  68.008  68.008  68.008  68.008  68.008  68.008  68.008  68.008  68.008  68.008  68.008  68.008
  38  67.680  67.680  67.680  67.680  67.680  67.680  67.680  67.680  67.680  67.680  67.680  67.680  67.680  67.680  67.680  67.680
